"id","name_tc","description_tc","slug","series_last_rows","series_names"
"14","美國-實質GDP內涵(貢獻度)","GDP 分項實質貢獻度，等於各分項佔比乘以各分項成長率。

目前美國 GDP 佔比中，消費支出佔比達七成，為美國經濟成長主要貢獻來源。當消費支出成長率亮眼或疲軟時，也會較大幅度的影響美國經濟。","real-cigxm-contribution","[[[""2024-07-01"",""2.4800""],[""2024-10-01"",""2.8200""]],[[""2024-07-01"",""-0.1800""],[""2024-10-01"",""0.2100""]],[[""2024-07-01"",""0.5500""],[""2024-10-01"",""-0.3100""]],[[""2024-07-01"",""-0.2200""],[""2024-10-01"",""-0.9300""]],[[""2024-07-01"",""0.8600""],[""2024-10-01"",""0.4200""]],[[""2024-07-01"",""-0.4300""],[""2024-10-01"",""0.0400""]],[[""2024-07-01"",""3.1000""],[""2024-10-01"",""2.3000""]]]","[""美國-消費(L)"", ""美國-投資-住宅(L)"", ""美國-投資-非住宅(L)"", ""美國-投資-庫存(L)"", ""美國-政府支出(L)"", ""美國-淨出口(L)"", ""美國-實質GDP(SAAR,年率,R)""]"
"17","美國-商品與服務貿易(年增率)","美國為進口國，因此其內需的強弱影響其他各國的經濟，再進而影響美國出口，因此進出口走勢亦步亦趨。當美國與其他國家景氣趨緩時，美國進出口（年增率）將出現明顯震盪回落。","exports-imports","[[[""2025-01-01"",""4.3700""],[""2025-02-01"",""4.7800""]],[[""2025-01-01"",""23.0400""],[""2025-02-01"",""19.7000""]]]","[""出口(年增率)"", ""進口(年增率)""]"
"18","美國-勞動參與率","勞動參與率可用來衡量人們參與經濟生產活動的比例，其計算公式為，勞動參與率 = 勞動參與人口 / 民眾非機構人口。部分名詞解釋如下：

1. 民眾非機構人口：16 歲以上人口，排除現役軍人、監牢中犯人、被限制在療養院人口。
2. 勞動參與人口（又稱勞動力）：年齡 16 歲以上的就業、失業人口加總。
3. 非勞動力人口：16 歲以上的勞動參與人口中，就業報告調查期間沒有工作，並且 4 週內沒有積極尋找工作或是被臨時裁員的人。

美國當前的勞動參與率處於 40 年來較低水準，顯示美國勞動年齡提高，戰後嬰兒潮開始步入退休生活。","us-labor-participation-rate","[[[""2025-02-01"",""62.4000""],[""2025-03-01"",""62.5000""]],[[""2025-02-01"",""83.5000""],[""2025-03-01"",""83.3000""]],[[""2025-02-01"",""170359.0000""],[""2025-03-01"",""170591.0000""]],[[""2025-02-01"",""102487.0000""],[""2025-03-01"",""102431.0000""]],[[""2025-02-01"",""7052.0000""],[""2025-03-01"",""7083.0000""]]]","[""美國-勞動參與率(整體)"", ""美國-勞動參與率(25-54歲)"", ""美國-家庭調查勞動參與人口"", ""美國-家庭調查非勞動力人口"", ""美國-家庭調查失業人口""]"
"19","美國-初次與連續申請失業救濟金人數","初次申請失業救濟金人數（Unemployment Insurance Weekly Claims, UI Claims）由美國勞動部於每週四公佈上週數據，反映美國 1 週內失業或無薪假的人數變動，可用於預測「失業率」及「非農就業」，為勞動市場的領先指標。該數據並無季節性調整，容易受到短期事件（如颶風）影響波動，可同步觀察「 4 週平均初次申請救濟金人數」觀察平滑趨勢。

連續申請失業救濟金人數（UI Continued Claims）是指已領過失業救濟金，但後尚未找到工作，並於上週持續申請救濟金者。原則上，美國勞工可以連續申請 26 週，不過各州情況不太相同。此外， 2020 年因肺炎疫情爆發，美國政府亦通過追加，延長週數最多至 39 週。

初次申請失業救濟金人數的數據較領先，但不確定因子亦較高，連續申請失業救濟金人數的數據則較可反映真正影響就業市場的狀況。當兩者同步下跌時，意味著就業市場好轉，景氣有回升跡象；而當兩者漲跌互見時，則意味就業市場前景尚未明朗，須持續留意。

註 1：申請失業救濟金必須符合官方所訂定的資格，否則可能無法通過申請。
註 2：兩數據公佈時間相同，但涵蓋期間不同。將於每週四公佈上週的初領申請失業救濟金人數，與上上週的連續申請失業救濟金人數。","initial-jobless-claims","[[[""2025-04-12"",""216000.0000""],[""2025-04-19"",""222000.0000""]],[[""2025-04-05"",""1878000.0000""],[""2025-04-12"",""1841000.0000""]],[[""2025-04-12"",""221000.0000""],[""2025-04-19"",""220250.0000""]]]","[""美國-初次申請失業救濟金人數(SA,L)"", ""美國-連續申請失業救濟金人數(SA,R)"", ""美國-4週平均初次申請救濟金人數(SA,L)""]"
"20","美國-每小時薪資&僱傭成本指數(年增率)","每小時薪資，是統計僱員加班、晚班加給及小費的薪資總收入，但不包含公司福利、不定期獎金及工資稅等，可實際反映僱員收入。

美國僱傭成本指數（Employment Cost Index, ECI），是統計企業支付勞工薪資、健康保險等福利的成本，ECI 的增長會大幅降低企業利潤，並提高企業轉嫁成本給消費者的可能，因此被聯準會視為薪資通膨螺旋是否發生的重要指標。","wage-growth","[[[""2025-02-01"",""3.9700""],[""2025-03-01"",""3.8400""]],[[""2024-07-01"",""3.9300""],[""2024-10-01"",""3.7600""]]]","[""美國-每小時薪資(SA,年增率,L)"", ""美國-僱傭成本指數(年增率,R)""]"
"22","美國-消費者信心指數","由於「消費」佔美國整體 GDP 七成，因此經濟諮商局（The Conference Board）與密西根大學公佈的消費者信心指數相當受到重視。透過抽樣調查，反映當前消費者對未來六個月的經濟前景、收入水平、收入預期及消費心理狀態的主觀感受。

經濟諮商局每月針對 5,000 戶家庭進行調查，於每月最後一個週二公佈當月值。該調查由以下五個問題組成：

1. 當前的整體財務收支狀況
2. 預期未來 6 個月的整體財務收支狀況
3. 當前的就業狀況
4. 預期未來 6 個月的就業狀況
5. 預期未來 6 個月的家庭總收入

而密西根大學主要針對 500 名成年消費者進行調查，報告分為初值及終值，初值於每月十號前後公佈，終值則在月底公佈。通常初值對於市場影響較大。

經濟諮商局與密西根大學所公佈的數據，兩者最大的差異在於，前者反映「一般民間消費」、「就業情形」；後者則反映「耐久財消費」。","consumer-confidence","[[[""2025-03-01"",""93.9000""],[""2025-04-01"",""86.0000""]],[[""2025-03-01"",""57.0000""],[""2025-04-01"",""52.2000""]]]","[""美國-消費者信心指數"", ""美國-密大消費者信心指數""]"
"23","美國-儲蓄率vs.消費支出","美國經濟分析局（BEA）於每月月底公佈前 1 個月的儲蓄率、個人消費支出及個人可支配所得，藉由每月公佈的數據，能夠初估當季的經濟成長。

儲蓄率為個人儲蓄佔可支配所得的比重，是檢視市場對景氣看法的重要指標之一，同時也可看出消費者是否有足夠的銀彈進行消費。 ","saving-rate","[[[""2025-01-01"",""4.3000""],[""2025-02-01"",""4.6000""]],[[""2025-01-01"",""5.4000""],[""2025-02-01"",""5.2900""]]]","[""美國-儲蓄率(SA)"", ""美國-個人消費支出(SAAR,年增率)""]"
"24","美國-房租物價指數","CPI 房屋項目中，房租的兩大項目為：主要住宅租金、所有權人約當租金（Owners' equivalent rent, OER）。主要住宅租金的定義較直觀，即指民眾在市場上租房的花費，佔比約 CPI 的 7 ~ 8%；而所有權人約當租金則是指房屋擁有者將自有住宅於市場上出租所獲得的預期租金，其計算方法是將購屋一次性成本，以租金方式分攤換算成 CPI，佔比約 23 ~ 24% 。由於所有權人約當租金權重佔比較高，一直以來都是美國 CPI 數據的重點觀察細項。

而 PCE 由於是從美國經濟分析局（BEA）公佈的國民收入和產品帳戶（NIPA）進行調查，涵蓋民眾所有類型的消費，包括不由家庭自行支付的消費，例如例如雇主提供給員工並代付的醫療保險費用，所以房屋項目的權重較低，房租佔比約 15 ~ 18% 。","cpi-house","[[[""2025-02-01"",""4.2400""],[""2025-03-01"",""4.0000""]],[[""2025-01-01"",""4.5000""],[""2025-02-01"",""4.3300""]]]","[""美國-消費者物價指數-房租(SA, 年增率)"", ""美國-個人消費支出物價指數[PCE]-房租(年增率)""]"
"25","美國-個人消費支出物價指數[PCE]","個人消費支出物價指數（Personal Consumption Expenditure Price Index，PCE Index）為聯準會的重要觀察指標，以 2% 為目標依據。主要組成項目佔比（由 2024Q1 個人消費支出各細項支出佔比估算，注意權重將隨時間調整）：

1.  商品（35％）：耐久財（10 ~ 15%）、非耐久財（20 ~ 25%）
2.  服務（65%）：住房含能源（15 ~ 18%）、醫療保健（15 ~ 18%）、交通運輸（2 ~ 3%）、休閒娛樂（3 ~ 4%）、餐飲住宿（6 ~ 8%）、金融服務與保險（7 ~ 8%）、其他服務（7 ~ 8%）

與 CPI 相比，PCE 物價指數包含房租的比重較小，較能反映真實通膨情況，此外，也列舉 CPI 與 PCE 兩點差異如下：

1. 指數計算方式：CPI 為拉氏指數（Laspeyres price index），PCE 為費雪指數（Fisher price index），其中費雪指數能夠捕捉替代效果，亦即當某商品物價上漲時，消費者會去購買相對較便宜替代品的情形，因此 PCE 漲幅通常低於 CPI。
2. 覆蓋範圍：CPI 僅考量自付費用支出（out-of-pocket expenditures），PCE 則衡量一切支出，包含自付費用及其他未自付費用，因此部分涵蓋在 PCE 的商品或服務並未出現在 CPI 中，例如雇主提供給員工並代付的醫療保險費用。","pce-price","[[[""2025-01-01"",""2.5200""],[""2025-02-01"",""2.5400""]],[[""2025-01-01"",""2.6600""],[""2025-02-01"",""2.7900""]]]","[""美國-個人消費支出物價指數[PCE](年增率)"", ""美國-核心個人消費支出物價指數[Core PCE](年增率)""]"
"26","美國-各物價指數","生產者物價指數可視為企業生產成本，通常會領先消費者物價。

另外，美國為進口大國，因此進口物價（波動大於出口）也是觀察美國物價的重點之一；不過隨著美國逐漸成為全球最大產油國後，進口物價影響已較過去減少。","price-index","[[[""2025-02-01"",""3.2162""],[""2025-03-01"",""2.7531""]],[[""2025-02-01"",""3.2368""],[""2025-03-01"",""2.7402""]],[[""2025-02-01"",""1.6500""],[""2025-03-01"",""0.9300""]],[[""2025-02-01"",""2.5600""],[""2025-03-01"",""2.4200""]]]","[""美國-生產者物價指數(SA,年增率)"", ""美國-生產者物價指數[PPI] (NSA,年增率)"", ""美國-進口物價指數(NSA,年增率)"", ""美國-出口物價指數(NSA,年增率)""]"
"27","美國-商品與服務貿易","貿易餘額 = 出口 - 進口，當進口大於出口時，貿易餘額呈現負值，反映美國有貿易赤字。","trade-surplus","[[[""2025-01-01"",4.374365761337197],[""2025-02-01"",4.778783705476411]],[[""2025-01-01"",23.0440330278381],[""2025-02-01"",19.701938830017397]],[[""2025-01-01"",""-130652.0000""],[""2025-02-01"",""-122662.0000""]]]","[""出口(L)"", ""進口(L)"", ""貿易餘額(R,Y軸反轉)""]"
"28","美國-淨出口/GDP","淨出口 = 出口 - 進口，美國長期的貿易逆差導因於經濟快速成長及製造業外移，加上為消費大國，使得美國成為商品的進口國，也讓淨出口佔 GDP 比重為負貢獻。","export-import-gdp","[[[""2022-01-01"",""11.6022""],[""2023-01-01"",""11.0115""]],[[""2022-01-01"",""20.7915""],[""2023-01-01"",""19.7431""]],[[""2022-01-01"",""33.8450""],[""2023-01-01"",""33.3693""]],[[""2022-01-01"",""42.7321""],[""2023-01-01"",""35.9817""]],[[""2022-01-01"",""53.8847""],[""2023-01-01"",""50.5372""]],[[""2022-01-01"",""23.2005""],[""2023-01-01"",""21.8482""]],[[""2022-01-01"",""21.5417""],[""2023-01-01"",""21.8105""]],[[""2022-01-01"",""25.5316""],[""2023-01-01"",""26.7992""]]]","[""美國-淨出口佔GDP比重(NSA)""]"
"30","美國-新屋開工vs.營建許可","新屋開工（Housing Starts）：由美國商務普查局（U.S. Census Bureau）調查各地房屋建築發照單位，以瞭解上個月該地新開工的住宅建案，於每個月月底公佈。調查從房屋建照的發照單位開始，先算出當月已獲建照的房屋總數量，再詢問每張執照的持有者或建商該棟建築物是從哪一月份動工建屋，並將調查資料分成「獨棟房屋」與「連棟房屋」（如公寓）的開工資料。

營建許可（Building Permits）：指建商開工建房子前要先取得的許可執照，與新屋開工同步公佈。有許可，未來才會建造更多房子，因此是領先新屋開工的指標，也被美國商務部列為「領先指標」的組成項目之一。

一般消費者的購屋意願會考量當前與將來的利率水準及經濟前景，因此當消費者購買房屋時，通常代表其看好未來經濟前景，所以新屋開工與營建許可，能夠當作房市及美國經濟的領先指標。

根據美國 GDP 試算，私人投資住宅項目佔國內私人投資約 19 ～ 21%，佔美國 GDP 約 3 ~ 4%，若再加計家具、家用品及住房相關服務等項目，則佔美國 GDP 約 7 ~ 10%，可見房市對於經濟有一定程度的影響力。","housing-start","[[[""2025-02-01"",""1494.0000""],[""2025-03-01"",""1324.0000""]],[[""2025-02-01"",""1459.0000""],[""2025-03-01"",""1482.0000""]],[[""2025-02-01"",""-3.3600""],[""2025-03-01"",""1.9200""]]]","[""美國-新屋開工數(SAAR,L)"", ""美國-營建許可(SAAR,L)"", ""美國-新屋開工(SAAR,年增率,R)""]"
"31","美國-成屋銷售","成屋銷售（Existing Home Sales）是由美國「全美不動產協會（NAR）」調查公佈的數據，於每月 25 日前後公佈前 1 個月銷售數字，反映美國整體成屋銷售狀況。

由於房屋消費金額龐大，可說是民眾最大的消費品與資產，且房屋銷售狀況也牽動著家具、家電用品等耐久財，與耐久財訂單高度相關。因此，成屋銷售除了反映房地產的景氣狀況，也同步反映美國製造業，甚至整體景氣的狀態，是市場的先行指標。

而成屋銷售亦跟升、降息變動相關，當處於升息循環、利率攀升時會給予銷售壓力；相對地，當啟動降息時，購屋成本降低，將能促進房市回春。","existing-home-price","[[[""2025-02-01"",""674.0000""],[""2025-03-01"",""724.0000""]],[[""2025-02-01"",""3.0600""],[""2025-03-01"",""7.4200""]],[[""2025-02-01"",4270],[""2025-03-01"",4020]],[[""2025-02-01"",""-0.9300""],[""2025-03-01"",""-2.4300""]],[[""2025-02-01"",""396800.0000""],[""2025-03-01"",""403700.0000""]]]","[""美國-成屋銷售(SAAR,L)"", ""美國-成屋銷售(SA,年增率,R)"", ""美國-成屋房價中位數(R)""]"
"32","美國-成屋庫存","庫存月數是指「待銷售數量 / 當月已銷售數量」，代表成屋庫存平均須去化的月數，也就是當月消化庫存的能力，數字越低，代表當月銷售狀況越佳。","existing-home","[[[""2025-01-01"",""1180000.0000""],[""2025-02-01"",""1240000.0000""]],[[""2025-01-01"",""3.5000""],[""2025-02-01"",""3.5000""]]]","[""美國-成屋庫存(L)"", ""美國-成屋庫存月數(R)""]"
"33","美國-新屋供需","美國新屋銷售的計算時點在銷售合約簽訂時，通常是在房子未興建以前，因此觀察此數據可了解有多少房屋開始興建，約占全部房屋銷售的 20% 左右。

此外，亦可同步觀察庫存月數。庫存月數是指「待銷售數量／當月已銷售數量」，代表新屋庫存平均須去化的月數，也就是本月消化庫存的能力，數字愈低，代表當月銷售狀況愈佳。","new-house","[[[""2024-07-01"",""7.2900""],[""2024-08-01"",""9.8200""]],[[""2024-07-01"",""7.3000""],[""2024-08-01"",""7.8000""]]]","[""美國-新屋銷售 (SAAR, 年增率, L)"", ""美國-新屋庫存月數 (R)""]"
"34","美國-新屋銷售","美國新屋銷售由商務部根據建商提供的銷售合約進行統計，於每個月月底公佈。新屋銷售與成屋銷售不同之處在於合約簽訂的時間點，新屋銷售是指房屋在興建之前就被買走（簽訂合約），而非交屋的時間點。因此觀察此數據可瞭解有多少房屋開始興建，約佔全部房屋銷售的 20% 左右。

新屋銷售與成屋銷售變化的意涵雷同，除了顯現住宅部門的景氣狀況，也會影響房屋開工及營建、住宅相關耐久財或非耐久財（如建材，家電，家飾品等）產業。再加上這類消費金額龐大，一般民眾在做購買決策前往往會審慎考慮未來的經濟狀況，因此具有領先經濟指標的特性。通常房屋銷售率持續下降，代表經濟景氣將可能走下坡；反之則預示景氣將出現復甦。

此外，聯準會連續升、降息會影響房貸利率，進而對房屋銷售造成影響，投資人應同步留意。","new-house-price","[[[""2025-02-01"",""674.0000""],[""2025-03-01"",""724.0000""]],[[""2025-02-01"",""4.8200""],[""2025-03-01"",""6.0000""]],[[""2025-02-01"",""411500.0000""],[""2025-03-01"",""403600.0000""]]]","[""美國-新屋銷售(SAAR, L)"", ""美國-新屋銷售(SAAR, 年增率, R)"", ""美國-新屋房價中位數(R)""]"
"35","美國-房價指數","S&P 全國房價指數：由標準普爾所發佈的房價指數，發佈時間為每月的最後一個週二，公佈前 2 個月的數值。其計算對象以銷售 2 次及以上的單戶住宅為樣本（新屋價格並不計算在此指數中）。單戶住宅是指只有一個居住單元，如獨立式住宅、透天別墅等（公寓大樓為多戶住宅）。此綜合指數以全美國各地區面積佔總合面積比例給予權重，西部洛杉磯及東北紐約權重較大，房價中位數也屬於較高的地區，為組成房價指數的最大影響因素。

S&P 前 20 大房價指數：選擇全美前 20 大城市，依照上述的方式計算。

FHFA 房價指數：由聯邦住房金融局編製，發佈時間為每月的 22 ~ 27 日之間，公佈前 2 個月的數值。數據來源為房利美、房地美這兩家公司針對全美各州單戶住宅所進行的傳統抵押貸款購買或證券化交易的標的。","house-index","[[[""2024-12-01"",""327.5820""],[""2025-01-01"",""329.4410""]],[[""2024-12-01"",""337.7851""],[""2025-01-01"",""339.3413""]],[[""2024-12-01"",""435.8200""],[""2025-01-01"",""436.5200""]]]","[""美國-S&P全國房價指數(SA)"", ""美國-S&P前20大城市房價指數(SA)"", ""美國-FHFA房價指數(SA)""]"
